"t","y","dy","Filter"
"57441.42262","0.305356","0.031248","X3"
"57441.56716","0.267505","0.029366","X3"
"57441.76667","0.237955","0.02235","X3"
"57441.89816","0.256327","0.026579","X3"
"57442.03133","0.353057","0.029298","X3"
"57442.41977","0.38561","0.038144","X3"
"57442.55474","0.328081","0.030973","X3"
"57442.75976","0.401642","0.041266","X3"
"57442.89598","0.317041","0.028926","X3"
"57443.02889","0.339099","0.038526","X3"
"57443.4162","0.583947","0.048204","X3"
"57443.81582","0.338559","0.024535","X3"
"57444.023","0.311463","0.027507","X3"
"57444.34674","0.40977","0.03421","X3"
"57444.47947","0.36178","0.038691","X3"
"57444.7484","0.431958","0.055861","X3"
"57444.88143","0.335405","0.032605","X3"
"57445.3445","0.372573","0.03209","X3"
"57445.41005","0.492543","0.059459","X3"
"57445.67674","0.485521","0.046624","X3"
"57445.87712","0.377337","0.043102","X3"
"57446.01882","0.378221","0.039219","X3"
"57446.34176","0.276634","0.022807","X3"
"57446.47507","0.296727","0.023619","X3"
"57446.67369","0.314691","0.033934","X3"
"57446.87571","0.265956","0.032735","X3"
"57447.08334","0.261104","0.027694","X3"
"57447.33797","0.260589","0.021503","X3"
"57447.47178","0.271129","0.023835","X3"
"57447.60362","0.27684","0.031587","X3"
"57447.94171","0.443069","0.037149","X3"
"57448.00874","0.395199","0.034142","X3"
"57448.3346","0.424697","0.055001","X3"
"57448.53393","0.453667","0.038","X3"
"57448.73489","0.510045","0.04136","X3"
"57448.93829","0.533424","0.044379","X3"
"57449.00844","0.390715","0.035336","X3"
"57449.26527","0.272611","0.040003","X3"
"57449.46466","0.335754","0.04116","X3"
"57449.66463","0.18265","0.02126","X3"
"57449.94236","0.384569","0.037279","X3"
"57450.00728","0.306181","0.033974","X3"
"57450.20865","0.287062","0.035275","X3"
"57450.39518","0.308066","0.034933","X3"
"57450.59435","0.302245","0.03151","X3"
"57450.80168","0.266436","0.0314","X3"
"57451.00761","0.287897","0.03268","X3"
"57451.25925","0.307648","0.03254","X3"
"57451.45764","0.342531","0.035238","X3"
"57451.65817","0.335254","0.032591","X3"
"57451.92777","0.359196","0.036302","X3"
"57452.06561","0.299717","0.033561","X3"
"57452.25559","0.246047","0.029942","X3"
"57452.45922","0.258983","0.027716","X3"
"57452.65517","0.298474","0.034588","X3"
"57452.92433","0.296362","0.029369","X3"
"57453.12937","0.343223","0.034905","X3"
"57453.25314","0.343397","0.033564","X3"
"57453.4509","0.370127","0.03541","X3"
"57453.6513","0.410694","0.034224","X3"
"57453.92078","0.374037","0.034103","X3"
"57454.05783","0.436267","0.046469","X3"
"57454.2489","0.370668","0.033614","X3"
"57454.45808","0.263183","0.02364","X3"
"57454.71455","0.400726","0.032968","X3"
"57454.98562","0.478319","0.03912","X3"
"57455.05374","0.471752","0.037681","X3"
"57455.24644","0.47177","0.04258","X3"
"57455.44485","0.527402","0.051259","X3"
"57455.71269","0.552228","0.045882","X3"
"57456.05021","0.610973","0.049564","X3"
"57456.17548","0.543187","0.046322","X3"
"57456.64166","0.460623","0.03882","X3"
"57456.90977","0.460589","0.03559","X3"
"57457.04605","0.512863","0.048012","X3"
"57457.31406","0.793358","0.056951","X3"
"57457.44838","0.885827","0.059928","X3"
"57457.70534","0.765081","0.052542","X3"
"57457.9061","1.16331","0.071339","X3"
"57458.04114","0.769365","0.061276","X3"
"57458.25092","1.031698","0.064686","X3"
"57458.44225","0.915382","0.061809","X3"
"57458.70314","0.990977","0.065562","X3"
"57458.90804","1.021253","0.079939","X3"
